NISN,Nama Lengkap,Kelas,Jenis Kelamin,Tanggal Lahir,Agama,Nama Ayah,Nama Ibu,No Handphone,Alamat
1234567890,Ahmad Fauzi,X MIPA 1,Laki-laki,2008-04-12,Islam,Bambang,Siti Aminah,081234567890,"Jl. Medan - Banda Aceh, Lhoksukon, Aceh Utara"
1234567891,Cut Bella Salsabila,X MIPA 1,Perempuan,2008-08-21,Islam,Rahmat,Nurhaliza,081234567891,"Kec. Lhoksukon, Aceh Utara"
1234567892,Muhammad Pratama,X MIPA 2,Laki-laki,2008-01-15,Islam,Yusuf,Mariam,081234567892,"Gampong Meunasah Dayah, Lhoksukon"
1234567893,Dinda Rahmawati,XI IPS 1,Perempuan,2007-11-03,Islam,Hasan,Fatimah,081234567893,"Lhoksukon, Aceh Utara"
1234567894,Teuku Eko Prasetyo,XI IPS 1,Laki-laki,2007-06-25,Islam,Santoso,Dewi,081234567894,"Lhoksukon, Aceh Utara"
1234567895,Siti Nurjanah,X MIPA 1,Perempuan,2008-03-10,Islam,Abdul Karim,Zulaikha,081234567895,"Desa Cot Girek, Aceh Utara"
1234567896,Rizki Maulana,X MIPA 2,Laki-laki,2008-07-22,Islam,Iskandar,Rahmawati,081234567896,"Jl. Banda Aceh - Medan, Lhoksukon"
1234567897,Putri Amalina,XI IPS 1,Perempuan,2007-09-14,Islam,Syahrul,Kartini,081234567897,"Gampong Alue Ie Puteh, Lhoksukon"
1234567898,Teuku Farhan,XI IPS 2,Laki-laki,2007-12-01,Islam,Teuku Mulyadi,Cut Maryam,081234567898,"Lhoksukon, Aceh Utara"
1234567899,Nurul Fikri,X MIPA 2,Perempuan,2008-05-18,Islam,Abdullah,Aminah,081234567899,"Kec. Lhoksukon, Aceh Utara"
1234567900,Irfan Syahputra,XII IPA 1,Laki-laki,2006-02-28,Islam,Syahputra,Rosmanidar,081234567900,"Desa Keude Lhoksukon, Aceh Utara"
1234567901,Zahra Maghfira,XII IPA 1,Perempuan,2006-06-09,Islam,Zulfikar,Halimah,081234567901,"Gampong Blang Mane, Lhoksukon"
1234567902,Muhammad Hafiz,XII IPS 1,Laki-laki,2006-10-20,Islam,Habibi,Safira,081234567902,"Lhoksukon, Aceh Utara"
1234567903,Intan Permata Sari,XII IPS 1,Perempuan,2006-04-15,Islam,Sulaiman,Nurlaila,081234567903,"Jl. Elak Lhoksukon, Aceh Utara"
1234567904,Alif Rizqullah,XI IPS 2,Laki-laki,2007-08-07,Islam,Ruslan,Siti Hawa,081234567904,"Kec. Lhoksukon, Aceh Utara"
